Kategori,Nama_File,Hue_1,Warna_1,Hue_2,Warna_2,Hue_3,Warna_3
nanas,istockphoto-453794089-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-453794089-612x612.jpg,17.0,Oranye,,,,
nanas,istockphoto-464711675-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-464711675-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-465732960-612x612.jpg,41.0,Hijau,,,,
nanas,istockphoto-465732960-612x612.jpg,41.0,Hijau,,,,
nanas,istockphoto-467176151-612x612.jpg,20.0,Oranye,,,,
nanas,istockphoto-467176151-612x612.jpg,20.0,Oranye,,,,
nanas,istockphoto-469985451-612x612.jpg,17.6,Oranye,,,,
nanas,istockphoto-469985451-612x612.jpg,17.6,Oranye,,,,
nanas,istockphoto-470221128-612x612.jpg,11.5,Oranye,9.0,Merah,,
nanas,istockphoto-470221128-612x612.jpg,11.5,Oranye,9.0,Merah,,
nanas,istockphoto-478386400-612x612.jpg,15.75,Oranye,35.0,Hijau,,
nanas,istockphoto-478386400-612x612.jpg,15.75,Oranye,35.0,Hijau,,
nanas,istockphoto-480636761-612x612.jpg,12.0,Oranye,,,,
nanas,istockphoto-480636761-612x612.jpg,12.0,Oranye,,,,
nanas,istockphoto-495507915-612x612.jpg,36.0,Hijau,31.0,Kuning,,
nanas,istockphoto-495507915-612x612.jpg,36.0,Hijau,31.0,Kuning,,
nanas,istockphoto-510798092-612x612.jpg,39.0,Hijau,27.5,Kuning,,
nanas,istockphoto-510798092-612x612.jpg,39.0,Hijau,27.5,Kuning,,
nanas,istockphoto-534502336-612x612.jpg,31.2,Kuning,,,,
nanas,istockphoto-534502336-612x612.jpg,31.2,Kuning,,,,
nanas,istockphoto-541148662-612x612.jpg,47.6,Hijau,,,,
nanas,istockphoto-541148662-612x612.jpg,47.6,Hijau,,,,
nanas,istockphoto-578576926-612x612.jpg,25.5,Kuning,45.5,Hijau,24.0,Oranye
nanas,istockphoto-578576926-612x612.jpg,25.5,Kuning,45.5,Hijau,24.0,Oranye
nanas,istockphoto-586703630-612x612.jpg,22.0,Oranye,,,,
nanas,istockphoto-586703630-612x612.jpg,22.0,Oranye,,,,
nanas,istockphoto-89897437-612x612.jpg,12.0,Oranye,,,,
nanas,istockphoto-89897437-612x612.jpg,12.0,Oranye,,,,
nanas,istockphoto-91830998-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-91830998-612x612.jpg,15.0,Oranye,,,,
nanas,istockphoto-92364805-612x612.jpg,36.5,Hijau,34.0,Kuning,,
nanas,istockphoto-92364805-612x612.jpg,36.5,Hijau,34.0,Kuning,,
nanas,istockphoto-96777024-612x612.jpg,41.0,Hijau,,,,
nanas,istockphoto-96777024-612x612.jpg,41.0,Hijau,,,,
pear,istockphoto-1063364654-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-1063364654-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-1076679510-612x612.jpg,18.6,Oranye,,,,
pear,istockphoto-1076679510-612x612.jpg,18.6,Oranye,,,,
pear,istockphoto-1087019400-612x612.jpg,31.8,Kuning,,,,
pear,istockphoto-1087019400-612x612.jpg,31.8,Kuning,,,,
pear,istockphoto-1087020114-612x612.jpg,30.6,Kuning,,,,
pear,istockphoto-1087020114-612x612.jpg,30.6,Kuning,,,,
pear,istockphoto-1087030692-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-1087030692-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-1095545676-612x612.jpg,32.5,Kuning,35.0,Hijau,,
pear,istockphoto-1095545676-612x612.jpg,32.5,Kuning,35.0,Hijau,,
pear,istockphoto-1129868297-612x612.jpg,25.5,Kuning,23.0,Oranye,,
pear,istockphoto-1129868297-612x612.jpg,25.5,Kuning,23.0,Oranye,,
pear,istockphoto-1132339646-612x612.jpg,32.0,Kuning,,,,
pear,istockphoto-1132339646-612x612.jpg,32.0,Kuning,,,,
pear,istockphoto-1133583592-612x612.jpg,23.0,Oranye,25.5,Kuning,,
pear,istockphoto-1133583592-612x612.jpg,23.0,Oranye,25.5,Kuning,,
pear,istockphoto-1134196638-612x612.jpg,23.0,Oranye,25.5,Kuning,,
pear,istockphoto-1134196638-612x612.jpg,23.0,Oranye,25.5,Kuning,,
pear,istockphoto-1135477663-612x612.jpg,29.0,Kuning,,,,
pear,istockphoto-1135477663-612x612.jpg,29.0,Kuning,,,,
pear,istockphoto-1185499614-612x612.jpg,19.0,Oranye,,,,
pear,istockphoto-1185499614-612x612.jpg,19.0,Oranye,,,,
pear,istockphoto-1226207985-612x612.jpg,27.0,Kuning,,,,
pear,istockphoto-1226207985-612x612.jpg,27.0,Kuning,,,,
pear,istockphoto-123692448-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-123692448-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-1279302542-612x612.jpg,26.5,Kuning,24.0,Oranye,,
pear,istockphoto-1279302542-612x612.jpg,26.5,Kuning,24.0,Oranye,,
pear,istockphoto-1301925621-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-1301925621-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-1326454417-612x612.jpg,26.0,Kuning,11.5,Oranye,,
pear,istockphoto-1326454417-612x612.jpg,26.0,Kuning,11.5,Oranye,,
pear,istockphoto-1366928819-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-1366928819-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-1393602097-612x612.jpg,19.0,Oranye,,,,
pear,istockphoto-1393602097-612x612.jpg,19.0,Oranye,,,,
pear,istockphoto-140477023-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-140477023-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-144292180-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-144292180-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-147083227-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-147083227-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-147083228-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-147083228-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-155273577-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-155273577-612x612.jpg,31.0,Kuning,,,,
pear,istockphoto-1675181598-612x612.jpg,36.0,Hijau,33.0,Kuning,,
pear,istockphoto-1675181598-612x612.jpg,36.0,Hijau,33.0,Kuning,,
pear,istockphoto-175545299-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-175545299-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-177284411-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-177284411-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-178501930-612x612.jpg,29.0,Kuning,,,,
pear,istockphoto-178501930-612x612.jpg,29.0,Kuning,,,,
pear,istockphoto-181877576-612x612.jpg,30.8,Kuning,,,,
pear,istockphoto-181877576-612x612.jpg,30.8,Kuning,,,,
pear,istockphoto-184977324-612x612.jpg,29.0,Kuning,,,,
pear,istockphoto-184977324-612x612.jpg,29.0,Kuning,,,,
pear,istockphoto-2220579022-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-2220579022-612x612.jpg,30.0,Kuning,,,,
pear,istockphoto-2242248675-612x612.jpg,19.0,Oranye,,,,
pear,istockphoto-2242248675-612x612.jpg,19.0,Oranye,,,,
pear,istockphoto-465341926-612x612.jpg,23.0,Oranye,25.5,Kuning,,
pear,istockphoto-465341926-612x612.jpg,23.0,Oranye,25.5,Kuning,,
pear,istockphoto-466531300-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-466531300-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-467486600-612x612.jpg,28.0,Kuning,,,,
pear,istockphoto-467486600-612x612.jpg,28.0,Kuning,,,,
